Timestamp,Object_Label,Confidence
2025-11-28 08:11:48.997922,person,0.89
2025-11-28 08:11:49.063587,person,0.91
2025-11-28 08:11:49.064588,person,0.88
2025-11-28 08:11:49.120154,person,0.89
2025-11-28 08:11:49.120661,person,0.88
2025-11-28 08:11:49.175832,person,0.87
2025-11-28 08:11:49.175832,person,0.87
2025-11-28 08:11:49.234042,person,0.88
2025-11-28 08:11:49.235040,person,0.82
2025-11-28 08:11:49.289161,person,0.91
2025-11-28 08:11:49.289161,person,0.73
2025-11-28 08:11:49.358772,person,0.93
2025-11-28 08:11:49.422442,person,0.93
2025-11-28 08:11:49.484230,person,0.93
2025-11-28 08:11:49.545374,person,0.94
2025-11-28 08:11:49.600041,person,0.94
2025-11-28 08:11:49.654635,person,0.93
2025-11-28 08:11:49.707308,person,0.94
2025-11-28 08:11:49.769795,person,0.94
2025-11-28 08:11:49.830429,person,0.94
2025-11-28 08:11:49.889628,person,0.93
2025-11-28 08:11:49.945826,person,0.94
2025-11-28 08:11:50.017465,person,0.93
2025-11-28 08:11:50.071092,person,0.90
2025-11-28 08:11:50.127729,person,0.92
2025-11-28 08:11:50.189716,person,0.92
2025-11-28 08:11:50.243833,person,0.93
2025-11-28 08:11:50.334153,person,0.91
2025-11-28 08:11:50.389769,person,0.91
2025-11-28 08:11:50.445623,person,0.89
2025-11-28 08:11:50.501231,person,0.89
2025-11-28 08:11:50.555934,person,0.86
2025-11-28 08:11:50.611106,person,0.79
2025-11-28 08:11:50.667743,person,0.79
2025-11-28 08:11:50.724706,person,0.79
2025-11-28 08:11:50.782443,person,0.84
2025-11-28 08:11:50.836145,person,0.84
2025-11-28 08:11:50.889782,person,0.77
2025-11-28 08:11:50.954443,person,0.77
2025-11-28 08:11:51.010562,person,0.79
2025-11-28 08:11:51.065684,person,0.76
2025-11-28 08:11:51.121371,person,0.76
2025-11-28 08:11:51.175982,person,0.82
2025-11-28 08:11:51.235987,person,0.82
2025-11-28 08:11:51.292618,person,0.82
2025-11-28 08:11:51.360792,person,0.84
2025-11-28 08:11:51.418646,person,0.76
2025-11-28 08:11:51.418646,person,0.66
2025-11-28 08:11:51.475243,person,0.79
2025-11-28 08:11:51.476245,person,0.76
2025-11-28 08:11:51.530572,person,0.80
2025-11-28 08:11:51.530572,person,0.64
2025-11-28 08:11:51.585175,person,0.80
2025-11-28 08:11:51.585175,person,0.64
2025-11-28 08:11:51.643687,person,0.81
2025-11-28 08:11:51.644687,person,0.67
2025-11-28 08:11:51.702330,person,0.83
2025-11-28 08:11:51.702330,person,0.56
2025-11-28 08:11:51.784511,person,0.83
2025-11-28 08:11:51.785519,person,0.68
2025-11-28 08:11:51.841148,person,0.90
2025-11-28 08:11:51.842148,person,0.56
2025-11-28 08:11:51.897744,person,0.90
2025-11-28 08:11:51.898247,person,0.56
2025-11-28 08:11:51.952890,person,0.88
2025-11-28 08:11:51.952890,person,0.54
2025-11-28 08:11:52.007486,person,0.88
2025-11-28 08:11:52.007486,person,0.50
2025-11-28 08:11:52.078379,person,0.86
2025-11-28 08:11:52.078379,person,0.52
2025-11-28 08:11:52.137372,person,0.86
2025-11-28 08:11:52.193029,person,0.84
2025-11-28 08:11:52.251581,person,0.86
2025-11-28 08:11:52.308836,person,0.82
2025-11-28 08:11:52.365761,person,0.84
2025-11-28 08:11:52.366264,person,0.50
2025-11-28 08:11:52.422377,person,0.78
2025-11-28 08:11:52.423881,person,0.60
2025-11-28 08:11:52.480703,person,0.81
2025-11-28 08:11:52.480703,person,0.59
2025-11-28 08:11:52.538816,person,0.81
2025-11-28 08:11:52.539816,person,0.63
2025-11-28 08:11:52.593918,person,0.78
2025-11-28 08:11:52.594918,person,0.62
2025-11-28 08:11:52.660066,person,0.75
2025-11-28 08:11:52.661064,person,0.61
2025-11-28 08:11:52.718330,person,0.77
2025-11-28 08:11:52.774853,person,0.78
2025-11-28 08:11:52.831548,person,0.78
2025-11-28 08:11:52.832548,person,0.63
2025-11-28 08:11:52.833548,person,0.59
2025-11-28 08:11:52.895707,person,0.69
2025-11-28 08:11:52.895707,person,0.53
2025-11-28 08:11:52.896706,person,0.53
2025-11-28 08:11:52.896706,person,0.50
2025-11-28 08:11:52.953127,person,0.74
2025-11-28 08:11:52.954128,person,0.69
2025-11-28 08:11:52.954128,person,0.51
2025-11-28 08:11:53.019645,person,0.78
2025-11-28 08:11:53.019645,person,0.65
2025-11-28 08:11:53.020649,person,0.52
2025-11-28 08:11:53.072814,person,0.81
2025-11-28 08:11:53.073815,person,0.55
2025-11-28 08:11:53.130981,person,0.78
2025-11-28 08:11:53.187582,person,0.71
2025-11-28 08:11:53.243238,person,0.80
2025-11-28 08:11:53.304981,person,0.77
2025-11-28 08:11:53.368191,person,0.77
2025-11-28 08:11:53.425247,person,0.81
2025-11-28 08:11:53.480933,person,0.82
2025-11-28 08:11:53.537635,person,0.82
2025-11-28 08:11:53.595485,person,0.79
2025-11-28 08:11:53.664426,person,0.84
2025-11-28 08:11:53.721058,person,0.81
2025-11-28 08:11:53.721058,person,0.53
2025-11-28 08:11:53.787294,person,0.79
2025-11-28 08:11:53.843875,person,0.81
2025-11-28 08:11:53.902023,person,0.85
2025-11-28 08:11:53.958633,person,0.84
2025-11-28 08:11:54.016220,person,0.85
2025-11-28 08:11:54.071280,person,0.85
2025-11-28 08:11:54.125458,person,0.86
2025-11-28 08:11:54.183497,person,0.85
2025-11-28 08:11:54.183497,person,0.54
2025-11-28 08:11:54.245643,person,0.86
2025-11-28 08:11:54.307608,person,0.84
2025-11-28 08:11:54.363833,person,0.86
2025-11-28 08:11:54.419290,person,0.84
2025-11-28 08:11:54.475425,person,0.84
